Area,Year,average_rain_fall_mm_per_year,Item,Yield,pesticide,avg_temp
0,1990,1485.0,0,36613,121.0,16.37
0,1990,1485.0,1,66667,121.0,16.37
0,1990,1485.0,2,23333,121.0,16.37
0,1990,1485.0,3,12500,121.0,16.37
0,1990,1485.0,4,7000,121.0,16.37
0,1990,1485.0,5,30197,121.0,16.37
0,1991,1485.0,0,29068,121.0,15.36
0,1991,1485.0,1,77818,121.0,15.36
0,1991,1485.0,2,28538,121.0,15.36
0,1991,1485.0,3,6667,121.0,15.36
0,1991,1485.0,4,6066,121.0,15.36
0,1991,1485.0,5,20698,121.0,15.36
0,1992,1485.0,0,24876,121.0,16.06
0,1992,1485.0,1,82920,121.0,16.06
0,1992,1485.0,2,40000,121.0,16.06
0,1992,1485.0,3,3747,121.0,16.06
0,1992,1485.0,4,4507,121.0,16.06
0,1992,1485.0,5,24388,121.0,16.06
0,1993,1485.0,0,24185,121.0,16.05
0,1993,1485.0,1,98446,121.0,16.05
0,1993,1485.0,2,41786,121.0,16.05
0,1993,1485.0,4,7998,121.0,16.05
0,1993,1485.0,5,29976,121.0,16.05
0,1994,1485.0,0,25848,201.0,16.96
0,1994,1485.0,1,81404,201.0,16.96
0,1994,1485.0,4,7927,201.0,16.96
0,1994,1485.0,5,24745,201.0,16.96
0,1995,1485.0,0,31300,251.0,15.67
0,1995,1485.0,1,111323,251.0,15.67
0,1995,1485.0,4,11791,251.0,15.67
0,1995,1485.0,5,28703,251.0,15.67
0,1996,1485.0,0,32604,313.96,15.64
0,1996,1485.0,1,106138,313.96,15.64
0,1996,1485.0,4,15480,313.96,15.64
0,1996,1485.0,5,21741,313.96,15.64
0,1997,1485.0,0,31862,376.93,15.9
0,1997,1485.0,1,109874,376.93,15.9
0,1997,1485.0,4,12768,376.93,15.9
0,1997,1485.0,5,28516,376.93,15.9
0,1998,1485.0,0,33416,439.89,16.27
0,1998,1485.0,1,127212,439.89,16.27
0,1998,1485.0,4,14327,439.89,16.27
0,1998,1485.0,5,28037,439.89,16.27
0,1999,1485.0,0,37455,502.86,16.57
0,1999,1485.0,1,142018,502.86,16.57
0,1999,1485.0,4,17143,502.86,16.57
0,1999,1485.0,5,24954,502.86,16.57
0,2000,1485.0,0,38811,565.82,16.67
0,2000,1485.0,1,141228,565.82,16.67
0,2000,1485.0,4,15000,565.82,16.67
0,2000,1485.0,5,30455,565.82,16.67
0,2001,1485.0,0,38135,628.79,16.59
0,2001,1485.0,1,148818,628.79,16.59
0,2001,1485.0,4,20000,628.79,16.59
0,2001,1485.0,5,28220,628.79,16.59
0,2002,1485.0,0,39460,691.75,16.47
0,2002,1485.0,1,153868,691.75,16.47
0,2002,1485.0,4,20000,691.75,16.47
0,2002,1485.0,5,31617,691.75,16.47
0,2004,1485.0,0,46197,817.68,16.16
0,2004,1485.0,1,149346,817.68,16.16
0,2004,1485.0,4,13333,817.68,16.16
0,2004,1485.0,5,31130,817.68,16.16
0,2005,1485.0,0,45442,880.64,15.67
0,2005,1485.0,1,167061,880.64,15.67
0,2005,1485.0,4,17500,880.64,15.67
0,2005,1485.0,5,31582,880.64,15.67
0,2006,1485.0,0,50111,943.61,15.92
0,2006,1485.0,1,170745,943.61,15.92
0,2006,1485.0,4,20000,943.61,15.92
0,2006,1485.0,5,30787,943.61,15.92
0,2007,1485.0,0,46732,1006.57,16.67
0,2007,1485.0,1,188902,1006.57,16.67
0,2007,1485.0,4,20000,1006.57,16.67
0,2007,1485.0,5,35496,1006.57,16.67
0,2008,1485.0,0,50000,1069.54,16.71
0,2008,1485.0,1,193878,1069.54,16.71
0,2008,1485.0,4,20000,1069.54,16.71
0,2008,1485.0,5,40168,1069.54,16.71
0,2009,1485.0,0,55693,1132.5,16.73
0,2009,1485.0,1,219780,1132.5,16.73
0,2009,1485.0,4,16667,1132.5,16.73
0,2009,1485.0,5,40229,1132.5,16.73
0,2010,1485.0,0,66790,1311.17,16.52
0,2010,1485.0,1,231111,1311.17,16.52
0,2010,1485.0,4,16667,1311.17,16.52
0,2010,1485.0,5,39905,1311.17,16.52
0,2011,1485.0,0,59869,1302.63,16.45
0,2011,1485.0,1,242211,1302.63,16.45
0,2011,1485.0,4,18519,1302.63,16.45
0,2011,1485.0,5,42301,1302.63,16.45
0,2012,1485.0,0,67290,766.25,16.7
0,2012,1485.0,1,250538,766.25,16.7
0,2012,1485.0,4,13333,766.25,16.7
0,2012,1485.0,5,41096,766.25,16.7
0,2013,1485.0,0,69533,982.32,17.41
0,2013,1485.0,1,260110,982.32,17.41
0,2013,1485.0,4,10000,982.32,17.41
0,2013,1485.0,5,41292,982.32,17.41
1,1990,89.0,0,16500,1828.92,17.48
1,1990,89.0,1,78936,1828.92,17.48
1,1990,89.0,2,28000,1828.92,17.48
1,1990,89.0,3,16571,1828.92,17.48
1,1990,89.0,5,6315,1828.92,17.48
1,1991,89.0,0,19231,2461.8,16.26
1,1991,89.0,1,90747,2461.8,16.26
1,1991,89.0,2,26786,2461.8,16.26
1,1991,89.0,3,24231,2461.8,16.26
1,1991,89.0,5,10809,2461.8,16.26
1,1992,89.0,0,22828,1215.47,16.27
1,1992,89.0,1,107917,1215.47,16.27
